Backend, GPU, Time, Event, Full Value, Last Value
Rocmon, 0, 0.100277, RSMI_POWER_AVE[0], 42000000.000000, 42000000.000000
Rocmon, 0, 0.100277, RSMI_TEMP_EDGE, 35000.000000, 35000.000000
Rocmon, 0, 0.100277, RSMI_VOLT_VDDGFX, 793.000000, 793.000000
Rocmon, 0, 0.200587, RSMI_POWER_AVE[0], 84000000.000000, 42000000.000000
Rocmon, 0, 0.200587, RSMI_TEMP_EDGE, 70000.000000, 35000.000000
Rocmon, 0, 0.200587, RSMI_VOLT_VDDGFX, 1586.000000, 793.000000
Rocmon, 0, 0.300864, RSMI_POWER_AVE[0], 126000000.000000, 42000000.000000
Rocmon, 0, 0.300864, RSMI_TEMP_EDGE, 105000.000000, 35000.000000
Rocmon, 0, 0.300864, RSMI_VOLT_VDDGFX, 2379.000000, 793.000000
Rocmon, 0, 0.401178, RSMI_POWER_AVE[0], 168000000.000000, 42000000.000000
Rocmon, 0, 0.401178, RSMI_TEMP_EDGE, 140000.000000, 35000.000000
Rocmon, 0, 0.401178, RSMI_VOLT_VDDGFX, 3172.000000, 793.000000
Rocmon, 0, 0.501403, RSMI_POWER_AVE[0], 210000000.000000, 42000000.000000
Rocmon, 0, 0.501403, RSMI_TEMP_EDGE, 175000.000000, 35000.000000
Rocmon, 0, 0.501403, RSMI_VOLT_VDDGFX, 3965.000000, 793.000000
Rocmon, 0, 0.601647, RSMI_POWER_AVE[0], 252000000.000000, 42000000.000000
Rocmon, 0, 0.601647, RSMI_TEMP_EDGE, 210000.000000, 35000.000000
Rocmon, 0, 0.601647, RSMI_VOLT_VDDGFX, 4758.000000, 793.000000
Rocmon, 0, 0.701867, RSMI_POWER_AVE[0], 294000000.000000, 42000000.000000
Rocmon, 0, 0.701867, RSMI_TEMP_EDGE, 245000.000000, 35000.000000
Rocmon, 0, 0.701867, RSMI_VOLT_VDDGFX, 5551.000000, 793.000000
Rocmon, 0, 0.802220, RSMI_POWER_AVE[0], 336000000.000000, 42000000.000000
Rocmon, 0, 0.802220, RSMI_TEMP_EDGE, 280000.000000, 35000.000000
Rocmon, 0, 0.802220, RSMI_VOLT_VDDGFX, 6344.000000, 793.000000
Rocmon, 0, 0.902450, RSMI_POWER_AVE[0], 378000000.000000, 42000000.000000
Rocmon, 0, 0.902450, RSMI_TEMP_EDGE, 315000.000000, 35000.000000
Rocmon, 0, 0.902450, RSMI_VOLT_VDDGFX, 7137.000000, 793.000000
Rocmon, 0, 1.002683, RSMI_POWER_AVE[0], 420000000.000000, 42000000.000000
Rocmon, 0, 1.002683, RSMI_TEMP_EDGE, 350000.000000, 35000.000000
Rocmon, 0, 1.002683, RSMI_VOLT_VDDGFX, 7930.000000, 793.000000
Rocmon, 0, 1.102917, RSMI_POWER_AVE[0], 462000000.000000, 42000000.000000
Rocmon, 0, 1.102917, RSMI_TEMP_EDGE, 385000.000000, 35000.000000
Rocmon, 0, 1.102917, RSMI_VOLT_VDDGFX, 8723.000000, 793.000000
Rocmon, 0, 1.203259, RSMI_POWER_AVE[0], 504000000.000000, 42000000.000000
Rocmon, 0, 1.203259, RSMI_TEMP_EDGE, 420000.000000, 35000.000000
Rocmon, 0, 1.203259, RSMI_VOLT_VDDGFX, 9516.000000, 793.000000
Rocmon, 0, 1.303515, RSMI_POWER_AVE[0], 546000000.000000, 42000000.000000
Rocmon, 0, 1.303515, RSMI_TEMP_EDGE, 455000.000000, 35000.000000
Rocmon, 0, 1.303515, RSMI_VOLT_VDDGFX, 10309.000000, 793.000000
Rocmon, 0, 1.357387, RSMI_POWER_AVE[0], 606000000.000000, 60000000.000000
Rocmon, 0, 1.357387, RSMI_TEMP_EDGE, 490000.000000, 35000.000000
Rocmon, 0, 1.357387, RSMI_VOLT_VDDGFX, 11215.000000, 906.000000
