Backend, GPU, Time, Event, Full Value, Last Value
Nvmon, 0, 0.100995, MEMORY_UTILIZATION, 0.000000, 0.000000
Nvmon, 0, 0.202186, MEMORY_UTILIZATION, 0.000000, 0.000000
Nvmon, 0, 0.303251, MEMORY_UTILIZATION, 0.000000, 0.000000
Nvmon, 0, 0.404316, MEMORY_UTILIZATION, 0.000000, 0.000000
Nvmon, 0, 0.505319, MEMORY_UTILIZATION, 0.000000, 0.000000
Nvmon, 0, 0.606239, MEMORY_UTILIZATION, 0.000000, 0.000000
Nvmon, 0, 0.707483, MEMORY_UTILIZATION, 26.000000, 26.000000
Nvmon, 0, 0.808726, MEMORY_UTILIZATION, 52.000000, 26.000000
Nvmon, 0, 0.910017, MEMORY_UTILIZATION, 105.000000, 53.000000
Nvmon, 0, 1.011249, MEMORY_UTILIZATION, 158.000000, 53.000000
Nvmon, 0, 1.112498, MEMORY_UTILIZATION, 211.000000, 53.000000
Nvmon, 0, 1.213988, MEMORY_UTILIZATION, 264.000000, 53.000000
Nvmon, 0, 1.315543, MEMORY_UTILIZATION, 316.000000, 52.000000
Nvmon, 0, 1.417028, MEMORY_UTILIZATION, 368.000000, 52.000000
Nvmon, 0, 1.518087, MEMORY_UTILIZATION, 411.000000, 43.000000
Nvmon, 0, 1.619002, MEMORY_UTILIZATION, 454.000000, 43.000000
Nvmon, 0, 1.719907, MEMORY_UTILIZATION, 454.000000, 0.000000
Nvmon, 0, 1.820791, MEMORY_UTILIZATION, 454.000000, 0.000000
Nvmon, 0, 1.921697, MEMORY_UTILIZATION, 454.000000, 0.000000
Nvmon, 0, 2.022590, MEMORY_UTILIZATION, 454.000000, 0.000000
Nvmon, 0, 2.123502, MEMORY_UTILIZATION, 454.000000, 0.000000
Nvmon, 0, 2.224432, MEMORY_UTILIZATION, 454.000000, 0.000000
Nvmon, 0, 2.325331, MEMORY_UTILIZATION, 454.000000, 0.000000
Nvmon, 0, 2.426225, MEMORY_UTILIZATION, 454.000000, 0.000000
Nvmon, 0, 2.527149, MEMORY_UTILIZATION, 454.000000, 0.000000
Nvmon, 0, 2.566830, MEMORY_UTILIZATION, 454.000000, 0.000000
