Backend, GPU, Time, Event, Full Value, Last Value
Nvmon, 0, 0.104469, POWER_USAGE, 47364.000000, 47364.000000
Nvmon, 0, 0.208817, POWER_USAGE, 94825.000000, 47461.000000
Nvmon, 0, 0.313042, POWER_USAGE, 142280.000000, 47455.000000
Nvmon, 0, 0.419126, POWER_USAGE, 189735.000000, 47455.000000
Nvmon, 0, 0.523378, POWER_USAGE, 237099.000000, 47364.000000
Nvmon, 0, 0.627586, POWER_USAGE, 284554.000000, 47455.000000
Nvmon, 0, 0.731802, POWER_USAGE, 332009.000000, 47455.000000
Nvmon, 0, 0.836065, POWER_USAGE, 378978.000000, 46969.000000
Nvmon, 0, 0.942410, POWER_USAGE, 425850.000000, 46872.000000
Nvmon, 0, 1.046674, POWER_USAGE, 472825.000000, 46975.000000
Nvmon, 0, 1.150944, POWER_USAGE, 519800.000000, 46975.000000
Nvmon, 0, 1.255195, POWER_USAGE, 566769.000000, 46969.000000
Nvmon, 0, 1.371177, POWER_USAGE, 643743.000000, 76974.000000
Nvmon, 0, 1.477087, POWER_USAGE, 720814.000000, 77071.000000
Nvmon, 0, 1.582145, POWER_USAGE, 798378.000000, 77564.000000
Nvmon, 0, 1.685493, POWER_USAGE, 875935.000000, 77557.000000
Nvmon, 0, 1.788902, POWER_USAGE, 955627.000000, 79692.000000
Nvmon, 0, 1.892558, POWER_USAGE, 1035319.000000, 79692.000000
Nvmon, 0, 1.996885, POWER_USAGE, 1330903.000000, 295584.000000
Nvmon, 0, 2.102674, POWER_USAGE, 1632121.000000, 301218.000000
Nvmon, 0, 2.207852, POWER_USAGE, 1934771.000000, 302650.000000
Nvmon, 0, 2.313748, POWER_USAGE, 2236273.000000, 301502.000000
Nvmon, 0, 2.422447, POWER_USAGE, 2538923.000000, 302650.000000
Nvmon, 0, 2.527593, POWER_USAGE, 2840902.000000, 301979.000000
Nvmon, 0, 2.632737, POWER_USAGE, 3142404.000000, 301502.000000
Nvmon, 0, 2.737867, POWER_USAGE, 3442952.000000, 300548.000000
Nvmon, 0, 2.844477, POWER_USAGE, 3746361.000000, 303409.000000
Nvmon, 0, 2.949677, POWER_USAGE, 4049293.000000, 302932.000000
Nvmon, 0, 3.054881, POWER_USAGE, 4354047.000000, 304754.000000
Nvmon, 0, 3.171759, POWER_USAGE, 4658128.000000, 304081.000000
Nvmon, 0, 3.276917, POWER_USAGE, 4959153.000000, 301025.000000
Nvmon, 0, 3.382453, POWER_USAGE, 5262757.000000, 303604.000000
Nvmon, 0, 3.487640, POWER_USAGE, 5566166.000000, 303409.000000
Nvmon, 0, 3.592867, POWER_USAGE, 5868622.000000, 302456.000000
Nvmon, 0, 3.698781, POWER_USAGE, 6170124.000000, 301502.000000
Nvmon, 0, 3.804430, POWER_USAGE, 6473056.000000, 302932.000000
Nvmon, 0, 3.909619, POWER_USAGE, 6772651.000000, 299595.000000
Nvmon, 0, 4.014803, POWER_USAGE, 7042776.000000, 270125.000000
Nvmon, 0, 4.122411, POWER_USAGE, 7345232.000000, 302456.000000
Nvmon, 0, 4.227564, POWER_USAGE, 7647688.000000, 302456.000000
Nvmon, 0, 4.332827, POWER_USAGE, 7949190.000000, 301502.000000
Nvmon, 0, 4.438048, POWER_USAGE, 8253076.000000, 303886.000000
Nvmon, 0, 4.543172, POWER_USAGE, 8556680.000000, 303604.000000
Nvmon, 0, 4.648570, POWER_USAGE, 8859136.000000, 302456.000000
Nvmon, 0, 4.753811, POWER_USAGE, 9160638.000000, 301502.000000
Nvmon, 0, 4.873288, POWER_USAGE, 9464047.000000, 303409.000000
Nvmon, 0, 4.982447, POWER_USAGE, 9767456.000000, 303409.000000
Nvmon, 0, 5.087764, POWER_USAGE, 10068481.000000, 301025.000000
Nvmon, 0, 5.193052, POWER_USAGE, 10369983.000000, 301502.000000
Nvmon, 0, 5.298871, POWER_USAGE, 10671485.000000, 301502.000000
Nvmon, 0, 5.404041, POWER_USAGE, 10975848.000000, 304363.000000
Nvmon, 0, 5.509183, POWER_USAGE, 11277827.000000, 301979.000000
Nvmon, 0, 5.614397, POWER_USAGE, 11581431.000000, 303604.000000
Nvmon, 0, 5.722451, POWER_USAGE, 11884363.000000, 302932.000000
Nvmon, 0, 5.827638, POWER_USAGE, 12186819.000000, 302456.000000
Nvmon, 0, 5.932992, POWER_USAGE, 12490228.000000, 303409.000000
Nvmon, 0, 6.038250, POWER_USAGE, 12791730.000000, 301502.000000
Nvmon, 0, 6.143524, POWER_USAGE, 13095811.000000, 304081.000000
Nvmon, 0, 6.248644, POWER_USAGE, 13397790.000000, 301979.000000
Nvmon, 0, 6.353889, POWER_USAGE, 13690322.000000, 292532.000000
Nvmon, 0, 6.472593, POWER_USAGE, 13992778.000000, 302456.000000
Nvmon, 0, 6.582449, POWER_USAGE, 14295234.000000, 302456.000000
Nvmon, 0, 6.687589, POWER_USAGE, 14596542.000000, 301308.000000
Nvmon, 0, 6.792802, POWER_USAGE, 14901002.000000, 304460.000000
Nvmon, 0, 6.898772, POWER_USAGE, 15202027.000000, 301025.000000
Nvmon, 0, 7.004033, POWER_USAGE, 15502099.000000, 300072.000000
Nvmon, 0, 7.110572, POWER_USAGE, 15803884.000000, 301785.000000
Nvmon, 0, 7.215791, POWER_USAGE, 16106816.000000, 302932.000000
Nvmon, 0, 7.322492, POWER_USAGE, 16412623.000000, 305807.000000
Nvmon, 0, 7.427680, POWER_USAGE, 16715457.000000, 302834.000000
Nvmon, 0, 7.532934, POWER_USAGE, 17018963.000000, 303506.000000
Nvmon, 0, 7.638160, POWER_USAGE, 17322274.000000, 303311.000000
Nvmon, 0, 7.743269, POWER_USAGE, 17624730.000000, 302456.000000
Nvmon, 0, 7.848605, POWER_USAGE, 17925180.000000, 300450.000000
Nvmon, 0, 7.953889, POWER_USAGE, 18226584.000000, 301404.000000
Nvmon, 0, 8.072230, POWER_USAGE, 18527988.000000, 301404.000000
Nvmon, 0, 8.178320, POWER_USAGE, 18828438.000000, 300450.000000
Nvmon, 0, 8.283510, POWER_USAGE, 19131272.000000, 302834.000000
Nvmon, 0, 8.388644, POWER_USAGE, 19431722.000000, 300450.000000
Nvmon, 0, 8.493893, POWER_USAGE, 19733320.000000, 301598.000000
Nvmon, 0, 8.602572, POWER_USAGE, 20034247.000000, 300927.000000
Nvmon, 0, 8.709337, POWER_USAGE, 20335174.000000, 300927.000000
Nvmon, 0, 8.814408, POWER_USAGE, 20637621.000000, 302447.000000
Nvmon, 0, 8.922500, POWER_USAGE, 20935687.000000, 298066.000000
Nvmon, 0, 9.027592, POWER_USAGE, 21233468.000000, 297781.000000
Nvmon, 0, 9.132710, POWER_USAGE, 21529720.000000, 296252.000000
