Backend, GPU, Time, Event, Full Value, Last Value
Rocmon, 0, 0.100238, ROCP_SQ_INSTS_VALU_ADD_F64, 0.000000, 0.000000
Rocmon, 0, 0.100238, ROCP_SQ_INSTS_VALU_MUL_F64, 0.000000, 0.000000
Rocmon, 0, 0.100238, ROCP_SQ_INSTS_VALU_FMA_F64, 0.000000, 0.000000
Rocmon, 0, 0.100238, ROCP_SQ_INSTS_VALU_MFMA_F64, 0.000000, 0.000000
Rocmon, 0, 0.200394, ROCP_SQ_INSTS_VALU_ADD_F64, 0.000000, 0.000000
Rocmon, 0, 0.200394, ROCP_SQ_INSTS_VALU_MUL_F64, 0.000000, 0.000000
Rocmon, 0, 0.200394, ROCP_SQ_INSTS_VALU_FMA_F64, 0.000000, 0.000000
Rocmon, 0, 0.200394, ROCP_SQ_INSTS_VALU_MFMA_F64, 0.000000, 0.000000
Rocmon, 0, 0.300511, ROCP_SQ_INSTS_VALU_ADD_F64, 0.000000, 0.000000
Rocmon, 0, 0.300511, ROCP_SQ_INSTS_VALU_MUL_F64, 0.000000, 0.000000
Rocmon, 0, 0.300511, ROCP_SQ_INSTS_VALU_FMA_F64, 0.000000, 0.000000
Rocmon, 0, 0.300511, ROCP_SQ_INSTS_VALU_MFMA_F64, 0.000000, 0.000000
Rocmon, 0, 0.400653, ROCP_SQ_INSTS_VALU_ADD_F64, 0.000000, 0.000000
Rocmon, 0, 0.400653, ROCP_SQ_INSTS_VALU_MUL_F64, 0.000000, 0.000000
Rocmon, 0, 0.400653, ROCP_SQ_INSTS_VALU_FMA_F64, 0.000000, 0.000000
Rocmon, 0, 0.400653, ROCP_SQ_INSTS_VALU_MFMA_F64, 0.000000, 0.000000
Rocmon, 0, 0.500778, ROCP_SQ_INSTS_VALU_ADD_F64, 0.000000, 0.000000
Rocmon, 0, 0.500778, ROCP_SQ_INSTS_VALU_MUL_F64, 0.000000, 0.000000
Rocmon, 0, 0.500778, ROCP_SQ_INSTS_VALU_FMA_F64, 0.000000, 0.000000
Rocmon, 0, 0.500778, ROCP_SQ_INSTS_VALU_MFMA_F64, 0.000000, 0.000000
Rocmon, 0, 0.600908, ROCP_SQ_INSTS_VALU_ADD_F64, 0.000000, 0.000000
Rocmon, 0, 0.600908, ROCP_SQ_INSTS_VALU_MUL_F64, 0.000000, 0.000000
Rocmon, 0, 0.600908, ROCP_SQ_INSTS_VALU_FMA_F64, 0.000000, 0.000000
Rocmon, 0, 0.600908, ROCP_SQ_INSTS_VALU_MFMA_F64, 0.000000, 0.000000
Rocmon, 0, 0.700979, ROCP_SQ_INSTS_VALU_ADD_F64, 0.000000, 0.000000
Rocmon, 0, 0.700979, ROCP_SQ_INSTS_VALU_MUL_F64, 0.000000, 0.000000
Rocmon, 0, 0.700979, ROCP_SQ_INSTS_VALU_FMA_F64, 0.000000, 0.000000
Rocmon, 0, 0.700979, ROCP_SQ_INSTS_VALU_MFMA_F64, 0.000000, 0.000000
Rocmon, 0, 0.801102, ROCP_SQ_INSTS_VALU_ADD_F64, 0.000000, 0.000000
Rocmon, 0, 0.801102, ROCP_SQ_INSTS_VALU_MUL_F64, 0.000000, 0.000000
Rocmon, 0, 0.801102, ROCP_SQ_INSTS_VALU_FMA_F64, 0.000000, 0.000000
Rocmon, 0, 0.801102, ROCP_SQ_INSTS_VALU_MFMA_F64, 0.000000, 0.000000
Rocmon, 0, 0.901225, ROCP_SQ_INSTS_VALU_ADD_F64, 0.000000, 0.000000
Rocmon, 0, 0.901225, ROCP_SQ_INSTS_VALU_MUL_F64, 0.000000, 0.000000
Rocmon, 0, 0.901225, ROCP_SQ_INSTS_VALU_FMA_F64, 0.000000, 0.000000
Rocmon, 0, 0.901225, ROCP_SQ_INSTS_VALU_MFMA_F64, 0.000000, 0.000000
Rocmon, 0, 1.001367, ROCP_SQ_INSTS_VALU_ADD_F64, 0.000000, 0.000000
Rocmon, 0, 1.001367, ROCP_SQ_INSTS_VALU_MUL_F64, 0.000000, 0.000000
Rocmon, 0, 1.001367, ROCP_SQ_INSTS_VALU_FMA_F64, 0.000000, 0.000000
Rocmon, 0, 1.001367, ROCP_SQ_INSTS_VALU_MFMA_F64, 0.000000, 0.000000
Rocmon, 0, 1.101508, ROCP_SQ_INSTS_VALU_ADD_F64, 0.000000, 0.000000
Rocmon, 0, 1.101508, ROCP_SQ_INSTS_VALU_MUL_F64, 0.000000, 0.000000
Rocmon, 0, 1.101508, ROCP_SQ_INSTS_VALU_FMA_F64, 0.000000, 0.000000
Rocmon, 0, 1.101508, ROCP_SQ_INSTS_VALU_MFMA_F64, 0.000000, 0.000000
Rocmon, 0, 1.201651, ROCP_SQ_INSTS_VALU_ADD_F64, 0.000000, 0.000000
Rocmon, 0, 1.201651, ROCP_SQ_INSTS_VALU_MUL_F64, 0.000000, 0.000000
Rocmon, 0, 1.201651, ROCP_SQ_INSTS_VALU_FMA_F64, 0.000000, 0.000000
Rocmon, 0, 1.201651, ROCP_SQ_INSTS_VALU_MFMA_F64, 0.000000, 0.000000
Rocmon, 0, 1.301793, ROCP_SQ_INSTS_VALU_ADD_F64, 0.000000, 0.000000
Rocmon, 0, 1.301793, ROCP_SQ_INSTS_VALU_MUL_F64, 0.000000, 0.000000
Rocmon, 0, 1.301793, ROCP_SQ_INSTS_VALU_FMA_F64, 0.000000, 0.000000
Rocmon, 0, 1.301793, ROCP_SQ_INSTS_VALU_MFMA_F64, 0.000000, 0.000000
Rocmon, 0, 1.401921, ROCP_SQ_INSTS_VALU_ADD_F64, 0.000000, 0.000000
Rocmon, 0, 1.401921, ROCP_SQ_INSTS_VALU_MUL_F64, 0.000000, 0.000000
Rocmon, 0, 1.401921, ROCP_SQ_INSTS_VALU_FMA_F64, 0.000000, 0.000000
Rocmon, 0, 1.401921, ROCP_SQ_INSTS_VALU_MFMA_F64, 0.000000, 0.000000
Rocmon, 0, 1.502054, ROCP_SQ_INSTS_VALU_ADD_F64, 0.000000, 0.000000
Rocmon, 0, 1.502054, ROCP_SQ_INSTS_VALU_MUL_F64, 0.000000, 0.000000
Rocmon, 0, 1.502054, ROCP_SQ_INSTS_VALU_FMA_F64, 0.000000, 0.000000
