Backend, GPU, Time, Event, Full Value, Last Value
Rocmon, 0, 0.100571, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.100571, RSMI_POWER_AVE[0], 42000000.000000, 42000000.000000
Rocmon, 0, 0.201064, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.201064, RSMI_POWER_AVE[0], 84000000.000000, 42000000.000000
Rocmon, 0, 0.301429, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.301429, RSMI_POWER_AVE[0], 126000000.000000, 42000000.000000
Rocmon, 0, 0.401799, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.401799, RSMI_POWER_AVE[0], 168000000.000000, 42000000.000000
Rocmon, 0, 0.502128, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.502128, RSMI_POWER_AVE[0], 210000000.000000, 42000000.000000
Rocmon, 0, 0.602670, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.602670, RSMI_POWER_AVE[0], 252000000.000000, 42000000.000000
Rocmon, 0, 0.703112, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.703112, RSMI_POWER_AVE[0], 294000000.000000, 42000000.000000
Rocmon, 0, 0.803518, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.803518, RSMI_POWER_AVE[0], 336000000.000000, 42000000.000000
Rocmon, 0, 0.904045, ROCP_MemUnitBusy, 0.034751, 0.034751
Rocmon, 0, 0.904045, RSMI_POWER_AVE[0], 378000000.000000, 42000000.000000
Rocmon, 0, 1.004383, ROCP_MemUnitBusy, 0.033068, -0.001683
Rocmon, 0, 1.004383, RSMI_POWER_AVE[0], 420000000.000000, 42000000.000000
Rocmon, 0, 1.083491, ROCP_MemUnitBusy, 67.326110, 67.327794
Rocmon, 0, 1.083491, RSMI_POWER_AVE[0], 519000000.000000, 99000000.000000
