Backend, GPU, Time, Event, Full Value, Last Value
Rocmon, 0, 0.100612, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.100612, RSMI_POWER_AVE[0], 42000000.000000, 42000000.000000
Rocmon, 0, 0.201102, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.201102, RSMI_POWER_AVE[0], 84000000.000000, 42000000.000000
Rocmon, 0, 0.301492, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.301492, RSMI_POWER_AVE[0], 126000000.000000, 42000000.000000
Rocmon, 0, 0.401850, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.401850, RSMI_POWER_AVE[0], 168000000.000000, 42000000.000000
Rocmon, 0, 0.502207, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.502207, RSMI_POWER_AVE[0], 210000000.000000, 42000000.000000
Rocmon, 0, 0.602566, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.602566, RSMI_POWER_AVE[0], 252000000.000000, 42000000.000000
Rocmon, 0, 0.702929, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.702929, RSMI_POWER_AVE[0], 294000000.000000, 42000000.000000
Rocmon, 0, 0.803456, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.803456, RSMI_POWER_AVE[0], 336000000.000000, 42000000.000000
Rocmon, 0, 0.903809, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.903809, RSMI_POWER_AVE[0], 378000000.000000, 42000000.000000
Rocmon, 0, 1.004169, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 1.004169, RSMI_POWER_AVE[0], 420000000.000000, 42000000.000000
Rocmon, 0, 1.104532, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 1.104532, RSMI_POWER_AVE[0], 462000000.000000, 42000000.000000
Rocmon, 0, 1.204894, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 1.204894, RSMI_POWER_AVE[0], 504000000.000000, 42000000.000000
Rocmon, 0, 1.305258, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 1.305258, RSMI_POWER_AVE[0], 546000000.000000, 42000000.000000
Rocmon, 0, 1.405591, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 1.405591, RSMI_POWER_AVE[0], 588000000.000000, 42000000.000000
Rocmon, 0, 1.505900, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 1.505900, RSMI_POWER_AVE[0], 630000000.000000, 42000000.000000
Rocmon, 0, 1.606210, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 1.606210, RSMI_POWER_AVE[0], 672000000.000000, 42000000.000000
Rocmon, 0, 1.706567, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 1.706567, RSMI_POWER_AVE[0], 714000000.000000, 42000000.000000
Rocmon, 0, 1.806937, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 1.806937, RSMI_POWER_AVE[0], 756000000.000000, 42000000.000000
Rocmon, 0, 1.907243, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 1.907243, RSMI_POWER_AVE[0], 798000000.000000, 42000000.000000
Rocmon, 0, 2.007558, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 2.007558, RSMI_POWER_AVE[0], 840000000.000000, 42000000.000000
Rocmon, 0, 2.107919, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 2.107919, RSMI_POWER_AVE[0], 882000000.000000, 42000000.000000
Rocmon, 0, 2.208225, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 2.208225, RSMI_POWER_AVE[0], 924000000.000000, 42000000.000000
Rocmon, 0, 2.308554, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 2.308554, RSMI_POWER_AVE[0], 966000000.000000, 42000000.000000
Rocmon, 0, 2.409017, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 2.409017, RSMI_POWER_AVE[0], 1008000000.000000, 42000000.000000
Rocmon, 0, 2.509499, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 2.509499, RSMI_POWER_AVE[0], 1050000000.000000, 42000000.000000
Rocmon, 0, 2.609854, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 2.609854, RSMI_POWER_AVE[0], 1092000000.000000, 42000000.000000
