Backend, GPU, Time, Event, Full Value, Last Value
Rocmon, 0, 0.100504, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.100504, RSMI_POWER_AVE[0], 45000000.000000, 45000000.000000
Rocmon, 0, 0.200930, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.200930, RSMI_POWER_AVE[0], 90000000.000000, 45000000.000000
Rocmon, 0, 0.301373, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.301373, RSMI_POWER_AVE[0], 135000000.000000, 45000000.000000
Rocmon, 0, 0.401770, ROCP_MemUnitBusy, 0.000000, 0.000000
Rocmon, 0, 0.401770, RSMI_POWER_AVE[0], 180000000.000000, 45000000.000000
Rocmon, 0, 0.502121, ROCP_MemUnitBusy, 0.069935, 0.069935
Rocmon, 0, 0.502121, RSMI_POWER_AVE[0], 225000000.000000, 45000000.000000
Rocmon, 0, 0.602476, ROCP_MemUnitBusy, 0.065495, -0.004440
Rocmon, 0, 0.602476, RSMI_POWER_AVE[0], 270000000.000000, 45000000.000000
Rocmon, 0, 0.652534, ROCP_MemUnitBusy, 26.103165, 26.107605
Rocmon, 0, 0.652534, RSMI_POWER_AVE[0], 347000000.000000, 77000000.000000
