Backend, GPU, Time, Event, Full Value, Last Value
Rocmon, 0, 0.100237, RSMI_POWER_AVE[0], 42000000.000000, 42000000.000000
Rocmon, 0, 0.100237, RSMI_TEMP_EDGE, 31000.000000, 31000.000000
Rocmon, 0, 0.100237, RSMI_VOLT_VDDGFX, 793.000000, 793.000000
Rocmon, 0, 0.200571, RSMI_POWER_AVE[0], 84000000.000000, 42000000.000000
Rocmon, 0, 0.200571, RSMI_TEMP_EDGE, 62000.000000, 31000.000000
Rocmon, 0, 0.200571, RSMI_VOLT_VDDGFX, 1586.000000, 793.000000
Rocmon, 0, 0.300963, RSMI_POWER_AVE[0], 126000000.000000, 42000000.000000
Rocmon, 0, 0.300963, RSMI_TEMP_EDGE, 93000.000000, 31000.000000
Rocmon, 0, 0.300963, RSMI_VOLT_VDDGFX, 2379.000000, 793.000000
Rocmon, 0, 0.401147, RSMI_POWER_AVE[0], 168000000.000000, 42000000.000000
Rocmon, 0, 0.401147, RSMI_TEMP_EDGE, 124000.000000, 31000.000000
Rocmon, 0, 0.401147, RSMI_VOLT_VDDGFX, 3172.000000, 793.000000
Rocmon, 0, 0.501353, RSMI_POWER_AVE[0], 210000000.000000, 42000000.000000
Rocmon, 0, 0.501353, RSMI_TEMP_EDGE, 155000.000000, 31000.000000
Rocmon, 0, 0.501353, RSMI_VOLT_VDDGFX, 3965.000000, 793.000000
Rocmon, 0, 0.601530, RSMI_POWER_AVE[0], 252000000.000000, 42000000.000000
Rocmon, 0, 0.601530, RSMI_TEMP_EDGE, 186000.000000, 31000.000000
Rocmon, 0, 0.601530, RSMI_VOLT_VDDGFX, 4758.000000, 793.000000
Rocmon, 0, 0.701706, RSMI_POWER_AVE[0], 294000000.000000, 42000000.000000
Rocmon, 0, 0.701706, RSMI_TEMP_EDGE, 217000.000000, 31000.000000
Rocmon, 0, 0.701706, RSMI_VOLT_VDDGFX, 5551.000000, 793.000000
Rocmon, 0, 0.802017, RSMI_POWER_AVE[0], 336000000.000000, 42000000.000000
Rocmon, 0, 0.802017, RSMI_TEMP_EDGE, 247000.000000, 30000.000000
Rocmon, 0, 0.802017, RSMI_VOLT_VDDGFX, 6344.000000, 793.000000
Rocmon, 0, 0.902243, RSMI_POWER_AVE[0], 378000000.000000, 42000000.000000
Rocmon, 0, 0.902243, RSMI_TEMP_EDGE, 278000.000000, 31000.000000
Rocmon, 0, 0.902243, RSMI_VOLT_VDDGFX, 7137.000000, 793.000000
Rocmon, 0, 1.002473, RSMI_POWER_AVE[0], 420000000.000000, 42000000.000000
Rocmon, 0, 1.002473, RSMI_TEMP_EDGE, 308000.000000, 30000.000000
Rocmon, 0, 1.002473, RSMI_VOLT_VDDGFX, 7930.000000, 793.000000
Rocmon, 0, 1.102671, RSMI_POWER_AVE[0], 462000000.000000, 42000000.000000
Rocmon, 0, 1.102671, RSMI_TEMP_EDGE, 339000.000000, 31000.000000
Rocmon, 0, 1.102671, RSMI_VOLT_VDDGFX, 8723.000000, 793.000000
Rocmon, 0, 1.202973, RSMI_POWER_AVE[0], 504000000.000000, 42000000.000000
Rocmon, 0, 1.202973, RSMI_TEMP_EDGE, 370000.000000, 31000.000000
Rocmon, 0, 1.202973, RSMI_VOLT_VDDGFX, 9516.000000, 793.000000
Rocmon, 0, 1.303208, RSMI_POWER_AVE[0], 546000000.000000, 42000000.000000
Rocmon, 0, 1.303208, RSMI_TEMP_EDGE, 400000.000000, 30000.000000
Rocmon, 0, 1.303208, RSMI_VOLT_VDDGFX, 10309.000000, 793.000000
Rocmon, 0, 1.403452, RSMI_POWER_AVE[0], 588000000.000000, 42000000.000000
Rocmon, 0, 1.403452, RSMI_TEMP_EDGE, 431000.000000, 31000.000000
Rocmon, 0, 1.403452, RSMI_VOLT_VDDGFX, 11102.000000, 793.000000
Rocmon, 0, 1.503687, RSMI_POWER_AVE[0], 630000000.000000, 42000000.000000
Rocmon, 0, 1.503687, RSMI_TEMP_EDGE, 462000.000000, 31000.000000
Rocmon, 0, 1.503687, RSMI_VOLT_VDDGFX, 11895.000000, 793.000000
