Backend, GPU, Time, Event, Full Value, Last Value
Rocmon, 0, 0.100276, RSMI_POWER_AVE[0], 42000000.000000, 42000000.000000
Rocmon, 0, 0.100276, RSMI_TEMP_EDGE, 30000.000000, 30000.000000
Rocmon, 0, 0.100276, RSMI_VOLT_VDDGFX, 793.000000, 793.000000
Rocmon, 0, 0.200713, RSMI_POWER_AVE[0], 84000000.000000, 42000000.000000
Rocmon, 0, 0.200713, RSMI_TEMP_EDGE, 61000.000000, 31000.000000
Rocmon, 0, 0.200713, RSMI_VOLT_VDDGFX, 1586.000000, 793.000000
Rocmon, 0, 0.300889, RSMI_POWER_AVE[0], 126000000.000000, 42000000.000000
Rocmon, 0, 0.300889, RSMI_TEMP_EDGE, 92000.000000, 31000.000000
Rocmon, 0, 0.300889, RSMI_VOLT_VDDGFX, 2379.000000, 793.000000
Rocmon, 0, 0.401125, RSMI_POWER_AVE[0], 168000000.000000, 42000000.000000
Rocmon, 0, 0.401125, RSMI_TEMP_EDGE, 123000.000000, 31000.000000
Rocmon, 0, 0.401125, RSMI_VOLT_VDDGFX, 3172.000000, 793.000000
Rocmon, 0, 0.501328, RSMI_POWER_AVE[0], 210000000.000000, 42000000.000000
Rocmon, 0, 0.501328, RSMI_TEMP_EDGE, 154000.000000, 31000.000000
Rocmon, 0, 0.501328, RSMI_VOLT_VDDGFX, 3965.000000, 793.000000
Rocmon, 0, 0.601791, RSMI_POWER_AVE[0], 252000000.000000, 42000000.000000
Rocmon, 0, 0.601791, RSMI_TEMP_EDGE, 185000.000000, 31000.000000
Rocmon, 0, 0.601791, RSMI_VOLT_VDDGFX, 4758.000000, 793.000000
Rocmon, 0, 0.702222, RSMI_POWER_AVE[0], 294000000.000000, 42000000.000000
Rocmon, 0, 0.702222, RSMI_TEMP_EDGE, 216000.000000, 31000.000000
Rocmon, 0, 0.702222, RSMI_VOLT_VDDGFX, 5551.000000, 793.000000
Rocmon, 0, 0.802463, RSMI_POWER_AVE[0], 336000000.000000, 42000000.000000
Rocmon, 0, 0.802463, RSMI_TEMP_EDGE, 247000.000000, 31000.000000
Rocmon, 0, 0.802463, RSMI_VOLT_VDDGFX, 6344.000000, 793.000000
Rocmon, 0, 0.902680, RSMI_POWER_AVE[0], 378000000.000000, 42000000.000000
Rocmon, 0, 0.902680, RSMI_TEMP_EDGE, 278000.000000, 31000.000000
Rocmon, 0, 0.902680, RSMI_VOLT_VDDGFX, 7137.000000, 793.000000
Rocmon, 0, 1.002863, RSMI_POWER_AVE[0], 420000000.000000, 42000000.000000
Rocmon, 0, 1.002863, RSMI_TEMP_EDGE, 309000.000000, 31000.000000
Rocmon, 0, 1.002863, RSMI_VOLT_VDDGFX, 7930.000000, 793.000000
Rocmon, 0, 1.103081, RSMI_POWER_AVE[0], 690000000.000000, 270000000.000000
Rocmon, 0, 1.103081, RSMI_TEMP_EDGE, 341000.000000, 32000.000000
Rocmon, 0, 1.103081, RSMI_VOLT_VDDGFX, 8786.000000, 856.000000
Rocmon, 0, 1.115333, RSMI_POWER_AVE[0], 768000000.000000, 78000000.000000
Rocmon, 0, 1.115333, RSMI_TEMP_EDGE, 372000.000000, 31000.000000
Rocmon, 0, 1.115333, RSMI_VOLT_VDDGFX, 9692.000000, 906.000000
