Backend, GPU, Time, Event, Full Value, Last Value
Rocmon, 0, 0.100249, RSMI_POWER_AVE[0], 42000000.000000, 42000000.000000
Rocmon, 0, 0.100249, RSMI_TEMP_EDGE, 31000.000000, 31000.000000
Rocmon, 0, 0.100249, RSMI_VOLT_VDDGFX, 793.000000, 793.000000
Rocmon, 0, 0.200604, RSMI_POWER_AVE[0], 84000000.000000, 42000000.000000
Rocmon, 0, 0.200604, RSMI_TEMP_EDGE, 62000.000000, 31000.000000
Rocmon, 0, 0.200604, RSMI_VOLT_VDDGFX, 1586.000000, 793.000000
Rocmon, 0, 0.300812, RSMI_POWER_AVE[0], 126000000.000000, 42000000.000000
Rocmon, 0, 0.300812, RSMI_TEMP_EDGE, 93000.000000, 31000.000000
Rocmon, 0, 0.300812, RSMI_VOLT_VDDGFX, 2379.000000, 793.000000
Rocmon, 0, 0.401023, RSMI_POWER_AVE[0], 168000000.000000, 42000000.000000
Rocmon, 0, 0.401023, RSMI_TEMP_EDGE, 123000.000000, 30000.000000
Rocmon, 0, 0.401023, RSMI_VOLT_VDDGFX, 3172.000000, 793.000000
Rocmon, 0, 0.501244, RSMI_POWER_AVE[0], 210000000.000000, 42000000.000000
Rocmon, 0, 0.501244, RSMI_TEMP_EDGE, 154000.000000, 31000.000000
Rocmon, 0, 0.501244, RSMI_VOLT_VDDGFX, 3965.000000, 793.000000
Rocmon, 0, 0.601401, RSMI_POWER_AVE[0], 252000000.000000, 42000000.000000
Rocmon, 0, 0.601401, RSMI_TEMP_EDGE, 185000.000000, 31000.000000
Rocmon, 0, 0.601401, RSMI_VOLT_VDDGFX, 4758.000000, 793.000000
Rocmon, 0, 0.701593, RSMI_POWER_AVE[0], 294000000.000000, 42000000.000000
Rocmon, 0, 0.701593, RSMI_TEMP_EDGE, 216000.000000, 31000.000000
Rocmon, 0, 0.701593, RSMI_VOLT_VDDGFX, 5551.000000, 793.000000
Rocmon, 0, 0.801774, RSMI_POWER_AVE[0], 336000000.000000, 42000000.000000
Rocmon, 0, 0.801774, RSMI_TEMP_EDGE, 247000.000000, 31000.000000
Rocmon, 0, 0.801774, RSMI_VOLT_VDDGFX, 6344.000000, 793.000000
Rocmon, 0, 0.902041, RSMI_POWER_AVE[0], 378000000.000000, 42000000.000000
Rocmon, 0, 0.902041, RSMI_TEMP_EDGE, 278000.000000, 31000.000000
Rocmon, 0, 0.902041, RSMI_VOLT_VDDGFX, 7137.000000, 793.000000
Rocmon, 0, 1.002191, RSMI_POWER_AVE[0], 420000000.000000, 42000000.000000
Rocmon, 0, 1.002191, RSMI_TEMP_EDGE, 309000.000000, 31000.000000
Rocmon, 0, 1.002191, RSMI_VOLT_VDDGFX, 7930.000000, 793.000000
Rocmon, 0, 1.102420, RSMI_POWER_AVE[0], 462000000.000000, 42000000.000000
Rocmon, 0, 1.102420, RSMI_TEMP_EDGE, 340000.000000, 31000.000000
Rocmon, 0, 1.102420, RSMI_VOLT_VDDGFX, 8723.000000, 793.000000
Rocmon, 0, 1.202611, RSMI_POWER_AVE[0], 504000000.000000, 42000000.000000
Rocmon, 0, 1.202611, RSMI_TEMP_EDGE, 371000.000000, 31000.000000
Rocmon, 0, 1.202611, RSMI_VOLT_VDDGFX, 9516.000000, 793.000000
Rocmon, 0, 1.302825, RSMI_POWER_AVE[0], 546000000.000000, 42000000.000000
Rocmon, 0, 1.302825, RSMI_TEMP_EDGE, 402000.000000, 31000.000000
Rocmon, 0, 1.302825, RSMI_VOLT_VDDGFX, 10309.000000, 793.000000
Rocmon, 0, 1.403057, RSMI_POWER_AVE[0], 588000000.000000, 42000000.000000
Rocmon, 0, 1.403057, RSMI_TEMP_EDGE, 433000.000000, 31000.000000
Rocmon, 0, 1.403057, RSMI_VOLT_VDDGFX, 11102.000000, 793.000000
Rocmon, 0, 1.503243, RSMI_POWER_AVE[0], 630000000.000000, 42000000.000000
Rocmon, 0, 1.503243, RSMI_TEMP_EDGE, 464000.000000, 31000.000000
Rocmon, 0, 1.503243, RSMI_VOLT_VDDGFX, 11895.000000, 793.000000
Rocmon, 0, 1.603482, RSMI_POWER_AVE[0], 672000000.000000, 42000000.000000
Rocmon, 0, 1.603482, RSMI_TEMP_EDGE, 495000.000000, 31000.000000
Rocmon, 0, 1.603482, RSMI_VOLT_VDDGFX, 12688.000000, 793.000000
Rocmon, 0, 1.703660, RSMI_POWER_AVE[0], 714000000.000000, 42000000.000000
Rocmon, 0, 1.703660, RSMI_TEMP_EDGE, 526000.000000, 31000.000000
Rocmon, 0, 1.703660, RSMI_VOLT_VDDGFX, 13481.000000, 793.000000
Rocmon, 0, 1.803853, RSMI_POWER_AVE[0], 756000000.000000, 42000000.000000
Rocmon, 0, 1.803853, RSMI_TEMP_EDGE, 557000.000000, 31000.000000
Rocmon, 0, 1.803853, RSMI_VOLT_VDDGFX, 14274.000000, 793.000000
Rocmon, 0, 1.904071, RSMI_POWER_AVE[0], 798000000.000000, 42000000.000000
Rocmon, 0, 1.904071, RSMI_TEMP_EDGE, 588000.000000, 31000.000000
Rocmon, 0, 1.904071, RSMI_VOLT_VDDGFX, 15067.000000, 793.000000
Rocmon, 0, 2.004250, RSMI_POWER_AVE[0], 840000000.000000, 42000000.000000
Rocmon, 0, 2.004250, RSMI_TEMP_EDGE, 618000.000000, 30000.000000
Rocmon, 0, 2.004250, RSMI_VOLT_VDDGFX, 15860.000000, 793.000000
Rocmon, 0, 2.104464, RSMI_POWER_AVE[0], 882000000.000000, 42000000.000000
Rocmon, 0, 2.104464, RSMI_TEMP_EDGE, 649000.000000, 31000.000000
Rocmon, 0, 2.104464, RSMI_VOLT_VDDGFX, 16653.000000, 793.000000
Rocmon, 0, 2.204679, RSMI_POWER_AVE[0], 924000000.000000, 42000000.000000
Rocmon, 0, 2.204679, RSMI_TEMP_EDGE, 680000.000000, 31000.000000
Rocmon, 0, 2.204679, RSMI_VOLT_VDDGFX, 17446.000000, 793.000000
Rocmon, 0, 2.304862, RSMI_POWER_AVE[0], 966000000.000000, 42000000.000000
Rocmon, 0, 2.304862, RSMI_TEMP_EDGE, 711000.000000, 31000.000000
Rocmon, 0, 2.304862, RSMI_VOLT_VDDGFX, 18239.000000, 793.000000
Rocmon, 0, 2.405087, RSMI_POWER_AVE[0], 1008000000.000000, 42000000.000000
Rocmon, 0, 2.405087, RSMI_TEMP_EDGE, 742000.000000, 31000.000000
Rocmon, 0, 2.405087, RSMI_VOLT_VDDGFX, 19032.000000, 793.000000
Rocmon, 0, 2.505269, RSMI_POWER_AVE[0], 1050000000.000000, 42000000.000000
Rocmon, 0, 2.505269, RSMI_TEMP_EDGE, 773000.000000, 31000.000000
Rocmon, 0, 2.505269, RSMI_VOLT_VDDGFX, 19825.000000, 793.000000
Rocmon, 0, 2.605484, RSMI_POWER_AVE[0], 1092000000.000000, 42000000.000000
Rocmon, 0, 2.605484, RSMI_TEMP_EDGE, 804000.000000, 31000.000000
Rocmon, 0, 2.605484, RSMI_VOLT_VDDGFX, 20618.000000, 793.000000
Rocmon, 0, 2.705703, RSMI_POWER_AVE[0], 1134000000.000000, 42000000.000000
Rocmon, 0, 2.705703, RSMI_TEMP_EDGE, 835000.000000, 31000.000000
Rocmon, 0, 2.705703, RSMI_VOLT_VDDGFX, 21411.000000, 793.000000
Rocmon, 0, 2.805885, RSMI_POWER_AVE[0], 1176000000.000000, 42000000.000000
Rocmon, 0, 2.805885, RSMI_TEMP_EDGE, 866000.000000, 31000.000000
Rocmon, 0, 2.805885, RSMI_VOLT_VDDGFX, 22204.000000, 793.000000
Rocmon, 0, 2.906108, RSMI_POWER_AVE[0], 1218000000.000000, 42000000.000000
