Backend, GPU, Time, Event, Full Value, Last Value
Rocmon, 0, 0.100286, RSMI_POWER_AVE[0], 42000000.000000, 42000000.000000
Rocmon, 0, 0.100286, RSMI_TEMP_EDGE, 31000.000000, 31000.000000
Rocmon, 0, 0.100286, RSMI_VOLT_VDDGFX, 793.000000, 793.000000
Rocmon, 0, 0.200685, RSMI_POWER_AVE[0], 84000000.000000, 42000000.000000
Rocmon, 0, 0.200685, RSMI_TEMP_EDGE, 63000.000000, 32000.000000
Rocmon, 0, 0.200685, RSMI_VOLT_VDDGFX, 1586.000000, 793.000000
Rocmon, 0, 0.300921, RSMI_POWER_AVE[0], 126000000.000000, 42000000.000000
Rocmon, 0, 0.300921, RSMI_TEMP_EDGE, 94000.000000, 31000.000000
Rocmon, 0, 0.300921, RSMI_VOLT_VDDGFX, 2379.000000, 793.000000
Rocmon, 0, 0.401147, RSMI_POWER_AVE[0], 168000000.000000, 42000000.000000
Rocmon, 0, 0.401147, RSMI_TEMP_EDGE, 125000.000000, 31000.000000
Rocmon, 0, 0.401147, RSMI_VOLT_VDDGFX, 3172.000000, 793.000000
Rocmon, 0, 0.501306, RSMI_POWER_AVE[0], 210000000.000000, 42000000.000000
Rocmon, 0, 0.501306, RSMI_TEMP_EDGE, 157000.000000, 32000.000000
Rocmon, 0, 0.501306, RSMI_VOLT_VDDGFX, 3965.000000, 793.000000
Rocmon, 0, 0.601536, RSMI_POWER_AVE[0], 252000000.000000, 42000000.000000
Rocmon, 0, 0.601536, RSMI_TEMP_EDGE, 189000.000000, 32000.000000
Rocmon, 0, 0.601536, RSMI_VOLT_VDDGFX, 4758.000000, 793.000000
Rocmon, 0, 0.701716, RSMI_POWER_AVE[0], 294000000.000000, 42000000.000000
Rocmon, 0, 0.701716, RSMI_TEMP_EDGE, 220000.000000, 31000.000000
Rocmon, 0, 0.701716, RSMI_VOLT_VDDGFX, 5551.000000, 793.000000
Rocmon, 0, 0.801935, RSMI_POWER_AVE[0], 336000000.000000, 42000000.000000
Rocmon, 0, 0.801935, RSMI_TEMP_EDGE, 251000.000000, 31000.000000
Rocmon, 0, 0.801935, RSMI_VOLT_VDDGFX, 6344.000000, 793.000000
Rocmon, 0, 0.902147, RSMI_POWER_AVE[0], 378000000.000000, 42000000.000000
Rocmon, 0, 0.902147, RSMI_TEMP_EDGE, 282000.000000, 31000.000000
Rocmon, 0, 0.902147, RSMI_VOLT_VDDGFX, 7137.000000, 793.000000
Rocmon, 0, 1.002385, RSMI_POWER_AVE[0], 420000000.000000, 42000000.000000
Rocmon, 0, 1.002385, RSMI_TEMP_EDGE, 313000.000000, 31000.000000
Rocmon, 0, 1.002385, RSMI_VOLT_VDDGFX, 7930.000000, 793.000000
Rocmon, 0, 1.102593, RSMI_POWER_AVE[0], 462000000.000000, 42000000.000000
Rocmon, 0, 1.102593, RSMI_TEMP_EDGE, 344000.000000, 31000.000000
Rocmon, 0, 1.102593, RSMI_VOLT_VDDGFX, 8723.000000, 793.000000
Rocmon, 0, 1.202867, RSMI_POWER_AVE[0], 504000000.000000, 42000000.000000
Rocmon, 0, 1.202867, RSMI_TEMP_EDGE, 376000.000000, 32000.000000
Rocmon, 0, 1.202867, RSMI_VOLT_VDDGFX, 9516.000000, 793.000000
Rocmon, 0, 1.303199, RSMI_POWER_AVE[0], 546000000.000000, 42000000.000000
Rocmon, 0, 1.303199, RSMI_TEMP_EDGE, 408000.000000, 32000.000000
Rocmon, 0, 1.303199, RSMI_VOLT_VDDGFX, 10309.000000, 793.000000
Rocmon, 0, 1.403387, RSMI_POWER_AVE[0], 588000000.000000, 42000000.000000
Rocmon, 0, 1.403387, RSMI_TEMP_EDGE, 439000.000000, 31000.000000
Rocmon, 0, 1.403387, RSMI_VOLT_VDDGFX, 11102.000000, 793.000000
Rocmon, 0, 1.503608, RSMI_POWER_AVE[0], 630000000.000000, 42000000.000000
Rocmon, 0, 1.503608, RSMI_TEMP_EDGE, 471000.000000, 32000.000000
Rocmon, 0, 1.503608, RSMI_VOLT_VDDGFX, 11895.000000, 793.000000
Rocmon, 0, 1.603764, RSMI_POWER_AVE[0], 672000000.000000, 42000000.000000
Rocmon, 0, 1.603764, RSMI_TEMP_EDGE, 503000.000000, 32000.000000
Rocmon, 0, 1.603764, RSMI_VOLT_VDDGFX, 12688.000000, 793.000000
Rocmon, 0, 1.704015, RSMI_POWER_AVE[0], 714000000.000000, 42000000.000000
Rocmon, 0, 1.704015, RSMI_TEMP_EDGE, 534000.000000, 31000.000000
Rocmon, 0, 1.704015, RSMI_VOLT_VDDGFX, 13481.000000, 793.000000
Rocmon, 0, 1.804256, RSMI_POWER_AVE[0], 756000000.000000, 42000000.000000
Rocmon, 0, 1.804256, RSMI_TEMP_EDGE, 565000.000000, 31000.000000
Rocmon, 0, 1.804256, RSMI_VOLT_VDDGFX, 14274.000000, 793.000000
Rocmon, 0, 1.904505, RSMI_POWER_AVE[0], 798000000.000000, 42000000.000000
Rocmon, 0, 1.904505, RSMI_TEMP_EDGE, 596000.000000, 31000.000000
Rocmon, 0, 1.904505, RSMI_VOLT_VDDGFX, 15067.000000, 793.000000
Rocmon, 0, 2.004735, RSMI_POWER_AVE[0], 840000000.000000, 42000000.000000
Rocmon, 0, 2.004735, RSMI_TEMP_EDGE, 628000.000000, 32000.000000
Rocmon, 0, 2.004735, RSMI_VOLT_VDDGFX, 15860.000000, 793.000000
Rocmon, 0, 2.104946, RSMI_POWER_AVE[0], 882000000.000000, 42000000.000000
Rocmon, 0, 2.104946, RSMI_TEMP_EDGE, 659000.000000, 31000.000000
Rocmon, 0, 2.104946, RSMI_VOLT_VDDGFX, 16653.000000, 793.000000
Rocmon, 0, 2.205251, RSMI_POWER_AVE[0], 924000000.000000, 42000000.000000
Rocmon, 0, 2.205251, RSMI_TEMP_EDGE, 691000.000000, 32000.000000
Rocmon, 0, 2.205251, RSMI_VOLT_VDDGFX, 17446.000000, 793.000000
Rocmon, 0, 2.305495, RSMI_POWER_AVE[0], 966000000.000000, 42000000.000000
Rocmon, 0, 2.305495, RSMI_TEMP_EDGE, 722000.000000, 31000.000000
Rocmon, 0, 2.305495, RSMI_VOLT_VDDGFX, 18239.000000, 793.000000
Rocmon, 0, 2.405728, RSMI_POWER_AVE[0], 1008000000.000000, 42000000.000000
Rocmon, 0, 2.405728, RSMI_TEMP_EDGE, 753000.000000, 31000.000000
Rocmon, 0, 2.405728, RSMI_VOLT_VDDGFX, 19032.000000, 793.000000
Rocmon, 0, 2.505937, RSMI_POWER_AVE[0], 1050000000.000000, 42000000.000000
Rocmon, 0, 2.505937, RSMI_TEMP_EDGE, 784000.000000, 31000.000000
Rocmon, 0, 2.505937, RSMI_VOLT_VDDGFX, 19825.000000, 793.000000
Rocmon, 0, 2.606249, RSMI_POWER_AVE[0], 1092000000.000000, 42000000.000000
Rocmon, 0, 2.606249, RSMI_TEMP_EDGE, 815000.000000, 31000.000000
Rocmon, 0, 2.606249, RSMI_VOLT_VDDGFX, 20618.000000, 793.000000
Rocmon, 0, 2.706440, RSMI_POWER_AVE[0], 1134000000.000000, 42000000.000000
Rocmon, 0, 2.706440, RSMI_TEMP_EDGE, 846000.000000, 31000.000000
Rocmon, 0, 2.706440, RSMI_VOLT_VDDGFX, 21411.000000, 793.000000
Rocmon, 0, 2.806656, RSMI_POWER_AVE[0], 1176000000.000000, 42000000.000000
Rocmon, 0, 2.806656, RSMI_TEMP_EDGE, 878000.000000, 32000.000000
Rocmon, 0, 2.806656, RSMI_VOLT_VDDGFX, 22204.000000, 793.000000
Rocmon, 0, 2.906874, RSMI_POWER_AVE[0], 1218000000.000000, 42000000.000000
Rocmon, 0, 2.906874, RSMI_TEMP_EDGE, 910000.000000, 32000.000000
Rocmon, 0, 2.906874, RSMI_VOLT_VDDGFX, 22997.000000, 793.000000
Rocmon, 0, 3.007263, RSMI_POWER_AVE[0], 1260000000.000000, 42000000.000000
Rocmon, 0, 3.007263, RSMI_TEMP_EDGE, 941000.000000, 31000.000000
Rocmon, 0, 3.007263, RSMI_VOLT_VDDGFX, 23790.000000, 793.000000
Rocmon, 0, 3.107454, RSMI_POWER_AVE[0], 1302000000.000000, 42000000.000000
Rocmon, 0, 3.107454, RSMI_TEMP_EDGE, 972000.000000, 31000.000000
Rocmon, 0, 3.107454, RSMI_VOLT_VDDGFX, 24583.000000, 793.000000
Rocmon, 0, 3.207674, RSMI_POWER_AVE[0], 1344000000.000000, 42000000.000000
Rocmon, 0, 3.207674, RSMI_TEMP_EDGE, 1003000.000000, 31000.000000
Rocmon, 0, 3.207674, RSMI_VOLT_VDDGFX, 25376.000000, 793.000000
Rocmon, 0, 3.307892, RSMI_POWER_AVE[0], 1386000000.000000, 42000000.000000
Rocmon, 0, 3.307892, RSMI_TEMP_EDGE, 1034000.000000, 31000.000000
Rocmon, 0, 3.307892, RSMI_VOLT_VDDGFX, 26169.000000, 793.000000
Rocmon, 0, 3.408279, RSMI_POWER_AVE[0], 1428000000.000000, 42000000.000000
Rocmon, 0, 3.408279, RSMI_TEMP_EDGE, 1066000.000000, 32000.000000
