Backend, GPU, Time, Event, Full Value, Last Value
Rocmon, 0, 0.100239, RSMI_POWER_AVE[0], 45000000.000000, 45000000.000000
Rocmon, 0, 0.100239, RSMI_TEMP_EDGE, 42000.000000, 42000.000000
Rocmon, 0, 0.100239, RSMI_VOLT_VDDGFX, 793.000000, 793.000000
Rocmon, 0, 0.200600, RSMI_POWER_AVE[0], 90000000.000000, 45000000.000000
Rocmon, 0, 0.200600, RSMI_TEMP_EDGE, 84000.000000, 42000.000000
Rocmon, 0, 0.200600, RSMI_VOLT_VDDGFX, 1586.000000, 793.000000
Rocmon, 0, 0.300850, RSMI_POWER_AVE[0], 135000000.000000, 45000000.000000
Rocmon, 0, 0.300850, RSMI_TEMP_EDGE, 126000.000000, 42000.000000
Rocmon, 0, 0.300850, RSMI_VOLT_VDDGFX, 2379.000000, 793.000000
Rocmon, 0, 0.401046, RSMI_POWER_AVE[0], 180000000.000000, 45000000.000000
Rocmon, 0, 0.401046, RSMI_TEMP_EDGE, 168000.000000, 42000.000000
Rocmon, 0, 0.401046, RSMI_VOLT_VDDGFX, 3172.000000, 793.000000
Rocmon, 0, 0.501235, RSMI_POWER_AVE[0], 225000000.000000, 45000000.000000
Rocmon, 0, 0.501235, RSMI_TEMP_EDGE, 210000.000000, 42000.000000
Rocmon, 0, 0.501235, RSMI_VOLT_VDDGFX, 3965.000000, 793.000000
Rocmon, 0, 0.599588, RSMI_POWER_AVE[0], 289000000.000000, 64000000.000000
Rocmon, 0, 0.599588, RSMI_TEMP_EDGE, 252000.000000, 42000.000000
Rocmon, 0, 0.599588, RSMI_VOLT_VDDGFX, 4871.000000, 906.000000
