Backend, GPU, Time, Event, Full Value, Last Value
Rocmon, 0, 0.100249, RSMI_POWER_AVE[0], 45000000.000000, 45000000.000000
Rocmon, 0, 0.100249, RSMI_TEMP_EDGE, 41000.000000, 41000.000000
Rocmon, 0, 0.100249, RSMI_VOLT_VDDGFX, 793.000000, 793.000000
Rocmon, 0, 0.200565, RSMI_POWER_AVE[0], 90000000.000000, 45000000.000000
Rocmon, 0, 0.200565, RSMI_TEMP_EDGE, 82000.000000, 41000.000000
Rocmon, 0, 0.200565, RSMI_VOLT_VDDGFX, 1586.000000, 793.000000
Rocmon, 0, 0.300729, RSMI_POWER_AVE[0], 135000000.000000, 45000000.000000
Rocmon, 0, 0.300729, RSMI_TEMP_EDGE, 123000.000000, 41000.000000
Rocmon, 0, 0.300729, RSMI_VOLT_VDDGFX, 2379.000000, 793.000000
Rocmon, 0, 0.401128, RSMI_POWER_AVE[0], 180000000.000000, 45000000.000000
Rocmon, 0, 0.401128, RSMI_TEMP_EDGE, 164000.000000, 41000.000000
Rocmon, 0, 0.401128, RSMI_VOLT_VDDGFX, 3172.000000, 793.000000
Rocmon, 0, 0.501364, RSMI_POWER_AVE[0], 233000000.000000, 53000000.000000
Rocmon, 0, 0.501364, RSMI_TEMP_EDGE, 205000.000000, 41000.000000
Rocmon, 0, 0.501364, RSMI_VOLT_VDDGFX, 3965.000000, 793.000000
Rocmon, 0, 0.601607, RSMI_POWER_AVE[0], 278000000.000000, 45000000.000000
Rocmon, 0, 0.601607, RSMI_TEMP_EDGE, 246000.000000, 41000.000000
Rocmon, 0, 0.601607, RSMI_VOLT_VDDGFX, 4758.000000, 793.000000
Rocmon, 0, 0.680284, RSMI_POWER_AVE[0], 379000000.000000, 101000000.000000
Rocmon, 0, 0.680284, RSMI_TEMP_EDGE, 287000.000000, 41000.000000
Rocmon, 0, 0.680284, RSMI_VOLT_VDDGFX, 5664.000000, 906.000000
